freq;freq_label;unit;unit_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;CLV20_MNAC;Chain linked volumes (2020), million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV15_MNAC;Chain linked volumes (2015), million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV10_MNAC;Chain linked volumes (2010), million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV05_MNAC;Chain linked volumes (2005), million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE;Chain linked volumes, percentage change on previous period;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PYP_MEUR;Previous year prices, million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PYP_MNAC;Previous year prices, million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CON_PPCH_PRE;Contribution to GDP growth, percentage point change on previous period;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD20_EUR;Price index (implicit deflator), 2020=100, euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD15_EUR;Price index (implicit deflator), 2015=100, euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD10_EUR;Price index (implicit deflator), 2010=100, euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD05_EUR;Price index (implicit deflator), 2005=100, euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD20_NAC;Price index (implicit deflator), 2020=100, national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD15_NAC;Price index (implicit deflator), 2015=100, national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD10_NAC;Price index (implicit deflator), 2010=100, national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD05_NAC;Price index (implicit deflator), 2005=100, national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_EUR;Price index (implicit deflator), percentage change on previous period, euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_NAC;Price index (implicit deflator), percentage change on previous period, national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV_I20;Chain linked volumes, index 2020=100;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV_I15;Chain linked volumes, index 2015=100;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV_I10;Chain linked volumes, index 2010=100;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV_I05;Chain linked volumes, index 2005=100;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MEUR_CP;Percentage of EU27 (from 2020) total (based on million euro), current prices;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MPPS_CP;Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CP_MEUR;Current prices, million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CP_MNAC;Current prices, million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CP_MPPS_EU27_2020;Current prices, million purchasing power standards (PPS, EU27 from 2020);P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV20_MEUR;Chain linked volumes (2020), million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV15_MEUR;Chain linked volumes (2015), million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV10_MEUR;Chain linked volumes (2010), million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV05_MEUR;Chain linked volumes (2005), million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV20_MNAC;Chain linked volumes (2020), million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV15_MNAC;Chain linked volumes (2015), million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV10_MNAC;Chain linked volumes (2010), million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV05_MNAC;Chain linked volumes (2005), million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE;Chain linked volumes, percentage change on previous period;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PYP_MEUR;Previous year prices, million euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PYP_MNAC;Previous year prices, million units of national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CON_PPCH_PRE;Contribution to GDP growth, percentage point change on previous period;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD20_EUR;Price index (implicit deflator), 2020=100, euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD15_EUR;Price index (implicit deflator), 2015=100, euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD10_EUR;Price index (implicit deflator), 2010=100, euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD05_EUR;Price index (implicit deflator), 2005=100, euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD20_NAC;Price index (implicit deflator), 2020=100, national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD15_NAC;Price index (implicit deflator), 2015=100, national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD10_NAC;Price index (implicit deflator), 2010=100, national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD05_NAC;Price index (implicit deflator), 2005=100, national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_EUR;Price index (implicit deflator), percentage change on previous period, euro;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_NAC;Price index (implicit deflator), percentage change on previous period, national currency;P31_S14;Final consumption expenditure of households;PT;Portugal;1975;1975;
A;Annual;CLV_I20;Chain linked volumes, index 2020=100;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_I15;Chain linked volumes, index 2015=100;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_I10;Chain linked volumes, index 2010=100;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_I05;Chain linked volumes, index 2005=100;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MEUR_CP;Percentage of EU27 (from 2020) total (based on million euro), current prices;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MPPS_CP;Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CP_MEUR;Current prices, million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CP_MNAC;Current prices, million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CP_MPPS_EU27_2020;Current prices, million purchasing power standards (PPS, EU27 from 2020);P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV20_MEUR;Chain linked volumes (2020), million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV15_MEUR;Chain linked volumes (2015), million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV10_MEUR;Chain linked volumes (2010), million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV05_MEUR;Chain linked volumes (2005), million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV20_MNAC;Chain linked volumes (2020), million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV15_MNAC;Chain linked volumes (2015), million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV10_MNAC;Chain linked volumes (2010), million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV05_MNAC;Chain linked volumes (2005), million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_PCH_PRE;Chain linked volumes, percentage change on previous period;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PYP_MEUR;Previous year prices, million euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PYP_MNAC;Previous year prices, million units of national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CON_PPCH_PRE;Contribution to GDP growth, percentage point change on previous period;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD20_EUR;Price index (implicit deflator), 2020=100, euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD15_EUR;Price index (implicit deflator), 2015=100, euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD10_EUR;Price index (implicit deflator), 2010=100, euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD05_EUR;Price index (implicit deflator), 2005=100, euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD20_NAC;Price index (implicit deflator), 2020=100, national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD15_NAC;Price index (implicit deflator), 2015=100, national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD10_NAC;Price index (implicit deflator), 2010=100, national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD05_NAC;Price index (implicit deflator), 2005=100, national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_EUR;Price index (implicit deflator), percentage change on previous period, euro;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_NAC;Price index (implicit deflator), percentage change on previous period, national currency;P31_S15;Final consumption expenditure of NPISH;PT;Portugal;1975;1975;
A;Annual;CLV_I20;Chain linked volumes, index 2020=100;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I15;Chain linked volumes, index 2015=100;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I10;Chain linked volumes, index 2010=100;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV_I05;Chain linked volumes, index 2005=100;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MEUR_CP;Percentage of EU27 (from 2020) total (based on million euro), current prices;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MPPS_CP;Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_MEUR;Current prices, million euro;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_MNAC;Current prices, million units of national currency;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CP_MPPS_EU27_2020;Current prices, million purchasing power standards (PPS, EU27 from 2020);P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV20_MEUR;Chain linked volumes (2020), million euro;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV15_MEUR;Chain linked volumes (2015), million euro;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV10_MEUR;Chain linked volumes (2010), million euro;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV05_MEUR;Chain linked volumes (2005), million euro;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV20_MNAC;Chain linked volumes (2020), million units of national currency;P41;Actual individual consumption;PT;Portugal;1975;1975;
A;Annual;CLV15_MNAC;Chain linked volumes (2015), million units of national currency;P41;Actual individual consumption;PT;Portugal;1975;1975;
